element,ion,wavelength_air_A,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,5969.56179,6.06,2.6,voigt,0.0005,False,
Cr,I,5970.68948,20.68,9.17,voigt,0.0002,False,
Cr,I,5972.25997,20.96,5.46,voigt,0.0001,False,
Fe,I,5976.4383,111.03,9.93,voigt,0.0047,False,
Fe,I,5976.77631,96.74,7.19,voigt,0.0042,False,
Fe,I,5978.32534,29.68,8.65,voigt,0.0054,False,
Ti,I,5982.53149,58.17,18.38,voigt,0.0053,False,
Fe,I,5984.81467,116.24,9.1,voigt,0.0066,False,
Fe,I,5985.18587,113.65,19.98,voigt,0.0127,False,
Fe,I,5986.08899,83.93,26.31,voigt,0.0126,False,
Fe,I,5994.10285,20.87,7.14,voigt,0.0001,False,
Fe,I,5994.2635,21.17,7.34,voigt,0.0001,False,
Fe,I,5996.49018,66.22,14.75,voigt,0.0038,False,
Fe,I,5997.77632,97.78,4.55,voigt,0.0011,False,
Si,I,5997.96812,95.91,4.41,voigt,0.001,False,
Si,I,6000.85486,9.92,3.84,voigt,0.0003,False,
Si,I,6002.07656,96.52,19.63,voigt,0.0072,False,
Fe,I,6004.04473,81.91,43.62,voigt,0.0082,False,
Fe,I,6007.95931,86.91,10.39,voigt,0.0094,False,
Fe,I,6008.34711,121.03,8.25,voigt,0.0057,False,
Fe,I,6009.43749,126.89,52.36,voigt,0.0118,False,
Fe,I,6013.91474,112.63,17.38,voigt,0.0048,False,
Fe,I,6020.168,154.52,23.74,voigt,0.0084,False,
Si,I,6022.22932,101.44,75.93,voigt,0.0181,False,
Fe,I,6024.05681,130.98,12.87,voigt,0.0086,False,
Cr,I,6025.15435,94.44,123.54,voigt,0.0163,False,
Fe,I,6034.03465,15.34,1.24,voigt,0.0001,False,
P,I,6034.04,15.34,1.24,voigt,0.0001,False,
Fe,I,6034.89465,17.63,13.57,voigt,0.0002,False,
Fe,I,6036.4561,13.5,1.16,voigt,0.0001,False,
Si,I,6042.39879,68.36,0.57,voigt,0.0,False,
P,I,6043.12,52.97,13.44,voigt,0.0034,False,
Cr,II,6053.4683,32.35,1.92,voigt,0.0003,False,
Fe,I,6055.08941,86.1,19.78,voigt,0.0062,False,
Fe,I,6055.40153,96.07,36.05,voigt,0.0056,False,
Fe,I,6056.33404,88.17,1.51,voigt,0.0003,False,
Si,I,6063.99314,59.96,155.86,voigt,0.0144,False,
Fe,I,6065.482,135.86,3.39,voigt,0.0005,True,blend_flag
Fe,I,6065.80007,130.74,1.22,voigt,0.0001,False,
Fe,I,6066.67025,78.7,27.39,voigt,0.0135,False,
Si,I,6067.62354,13.7,14.9,voigt,0.0002,False,
Fe,I,6067.77674,16.65,5.78,voigt,0.0,False,
Fe,I,6071.74686,16.57,4.47,voigt,0.0,False,
Ni,I,6072.05775,16.5,4.45,voigt,0.0,False,
Si,I,6076.9247,22.4,11.35,voigt,0.0066,False,
Fe,I,6077.97581,163.99,19.68,voigt,0.0072,False,
Fe,I,6078.4906,104.39,4.53,voigt,0.0019,False,
Si,I,6080.02218,72.45,115.29,voigt,0.0093,False,
Fe,I,6081.82832,66.4,11.13,voigt,0.0018,False,
Mg,I,6083.522,59.89,82.68,voigt,0.0046,False,
Fe,II,6084.10166,28.5,6.3,voigt,0.0044,False,
Si,I,6091.9188,52.35,7.54,voigt,0.0031,False,
Ti,I,6092.7918,81.04,44.01,voigt,0.0028,False,
Fe,I,6094.37244,25.15,3.18,voigt,0.0013,False,
Ni,I,6095.35267,32.92,58.2,voigt,0.0035,False,
Fe,I,6097.08091,56.69,5.47,voigt,0.0014,False,
Fe,I,6102.59858,226.21,12.11,voigt,0.007,False,
Fe,I,6105.1272,9.77,15.5,voigt,0.0063,False,
Fe,II,6116.04607,79.29,0.95,voigt,0.0001,False,
Fe,I,6117.19423,79.92,13.89,voigt,0.0037,False,
Ni,I,6119.75668,30.65,1.44,voigt,0.0002,False,
Ca,I,6122.217,120.73,3.57,voigt,0.0,False,
Si,I,6123.49394,120.94,60.47,voigt,0.0242,False,
Fe,II,6129.69501,53.26,91.18,voigt,0.0048,False,
Si,I,6131.5729,62.53,6.55,voigt,0.001,False,
Fe,I,6133.08357,34.65,30.63,voigt,0.0013,False,
Fe,I,6136.615,213.3,13.04,voigt,0.0093,True,blend_flag
Fe,I,6137.69088,196.5,14.94,voigt,0.0135,False,
Fe,II,6141.02076,174.57,43.59,voigt,0.0132,False,
Ni,I,6142.03378,142.28,3.16,voigt,0.0014,False,
Si,I,6142.2036,188.4,16.53,voigt,0.0099,False,
Fe,I,6145.40918,48.05,2.71,voigt,0.0007,False,
Fe,II,6149.258,46.47,7.17,voigt,0.0053,True,blend_flag
Ti,I,6149.7245,89.03,130.87,voigt,0.0089,False,
Si,I,6152.29226,81.29,62.38,voigt,0.0042,False,
Si,I,6155.69334,155.8,27.3,voigt,0.0057,False,
Fe,I,6156.37075,94.12,24.03,voigt,0.0101,False,
Ca,I,6163.755,123.43,103.07,voigt,0.0308,False,
Fe,I,6165.12182,50.82,12.91,voigt,0.0148,False,
Fe,I,6165.35945,30.15,11.17,voigt,0.0132,False,
Ca,I,6166.439,80.65,3.76,voigt,0.0027,False,
Fe,I,6169.4572,170.41,14.0,voigt,0.012,False,
Fe,I,6170.83613,96.05,18.29,voigt,0.0201,False,
Fe,I,6171.00906,137.17,38.3,voigt,0.0224,False,
Cr,I,6172.03925,44.05,105.19,voigt,0.0123,False,
Fe,I,6173.33395,76.02,3.99,voigt,0.0004,False,
Ti,I,6174.75123,87.76,34.72,voigt,0.0084,False,
Fe,II,6179.39043,82.7,14.1,voigt,0.0035,False,
Fe,I,6182.62004,30.96,4.16,voigt,0.0002,False,
Fe,I,6183.55773,26.01,0.88,voigt,0.0,False,
Fe,I,6185.69266,23.45,4.06,voigt,0.0015,False,
Fe,I,6187.39746,95.5,33.47,voigt,0.0039,False,
Fe,I,6188.50016,82.54,19.44,voigt,0.0034,False,
Fe,I,6191.55715,189.17,7.74,voigt,0.0038,False,
Y,I,6191.71783,189.94,7.57,voigt,0.0036,False,
Si,I,6194.41604,29.64,2.8,voigt,0.0004,False,
Si,I,6194.88433,57.79,5.2,voigt,0.0004,False,
Fe,I,6199.5058,106.83,17.74,voigt,0.0059,False,
Ca,I,6204.75719,26.39,0.55,voigt,0.0,False,
Fe,I,6209.71353,15.49,4.74,voigt,0.0001,False,
Ca,I,6210.87089,16.07,1.86,voigt,0.0001,False,
Fe,I,6212.09817,47.53,22.23,voigt,0.0078,False,
Ti,I,6212.21089,55.96,22.21,voigt,0.0077,False,
Fe,I,6215.42814,100.58,10.75,voigt,0.0073,False,
Fe,I,6217.68298,31.56,153.5,voigt,0.0103,False,
Ti,I,6220.47471,124.02,21.17,voigt,0.0086,False,
Si,I,6222.68208,20.82,36.03,voigt,0.0017,False,
Fe,I,6229.2255,38.84,22.23,voigt,0.0183,False,
Fe,II,6229.34039,43.72,11.14,voigt,0.0187,False,
Si,I,6237.31908,86.69,5.69,voigt,0.0023,False,
Fe,II,6239.94268,111.97,63.65,voigt,0.0047,False,
Fe,I,6240.3096,76.61,8.29,voigt,0.0036,False,
Fe,I,6240.64577,61.73,2.02,voigt,0.0006,False,
Si,I,6243.81457,73.18,8.78,voigt,0.0049,False,
Ni,I,6244.96517,135.76,60.7,voigt,0.0174,False,
Fe,II,6247.557,62.86,10.47,voigt,0.0139,True,blend_flag
Fe,I,6252.55455,140.19,8.32,voigt,0.0081,False,
Si,I,6253.59806,229.04,43.68,voigt,0.0225,False,
Si,I,6255.49159,151.97,47.39,voigt,0.0211,False,
Ti,I,6258.1016,64.02,13.52,voigt,0.0149,False,
Fe,I,6261.53316,54.61,13.4,voigt,0.0022,False,
Ti,I,6264.8097,96.59,3.26,voigt,0.0017,False,
Fe,I,6265.13191,95.93,1.26,voigt,0.0001,False,
Fe,I,6268.20693,30.99,43.1,voigt,0.0007,False,
Ti,I,6268.525,28.6,101.22,voigt,0.0037,False,
Fe,II,6269.95909,59.57,2.09,voigt,0.0008,False,
Fe,I,6271.27749,34.02,6.36,voigt,0.0039,False,
Ni,I,6272.6284,43.22,8.92,voigt,0.0008,False,
Fe,I,6274.08882,28.19,6.55,voigt,0.0001,False,
Si,I,6279.34314,142.72,37.0,voigt,0.0236,False,
Si,I,6280.42086,243.51,28.64,voigt,0.0141,False,
Fe,I,6286.50873,34.68,5.3,voigt,0.0014,False,
V,I,6286.93254,50.97,20.14,voigt,0.0014,False,
Fe,I,6290.54273,144.92,20.03,voigt,0.0069,False,
Fe,I,6293.61027,98.85,84.87,voigt,0.0064,False,
Fe,I,6301.49953,169.75,12.89,voigt,0.0103,False,
Si,I,6301.62465,170.0,12.91,voigt,0.0103,False,
Ti,I,6303.7565,7.74,9.01,voigt,0.0114,False,
Fe,I,6304.78929,45.89,87.18,voigt,0.0041,False,
Mn,I,6304.92885,52.68,68.64,voigt,0.0029,False,
Mn,I,6306.36464,31.96,2.32,voigt,0.0016,False,
Fe,II,6307.52011,37.72,63.76,voigt,0.0028,False,
Si,I,6308.82529,7.67,5.56,voigt,0.0027,False,
Ti,I,6312.236,6.16,6.38,voigt,0.0022,False,
Ti,I,6312.37977,8.38,4.99,voigt,0.0026,False,
Fe,I,6315.30547,119.62,13.39,voigt,0.0091,False,
Fe,I,6315.41119,118.39,13.28,voigt,0.0091,False,
Cr,I,6317.09764,122.89,111.74,voigt,0.0183,False,
Mg,I,6319.237,199.88,27.63,voigt,0.0107,False,
Mg,I,6319.493,176.15,80.81,voigt,0.0116,False,
Fe,I,6322.68458,79.23,5.43,voigt,0.001,False,
Fe,I,6330.8474,42.7,3.09,voigt,0.0014,False,
Si,I,6334.46568,103.78,24.46,voigt,0.0095,False,
Fe,I,6335.32954,114.9,6.78,voigt,0.0066,False,
Ti,I,6336.0993,204.3,31.01,voigt,0.018,False,
Fe,I,6336.39324,170.84,23.03,voigt,0.0165,False,
Fe,I,6336.82299,137.26,9.23,voigt,0.0089,False,
Fe,I,6338.87537,95.83,39.82,voigt,0.0038,False,
Ca,I,6343.30812,110.88,13.98,voigt,0.0035,False,
Si,I,6344.42885,73.53,0.81,voigt,0.0001,False,
Fe,I,6353.83538,62.85,17.52,voigt,0.0057,False,
Si,I,6354.90247,91.54,1.24,voigt,0.0002,False,
Ti,I,6359.88764,54.08,19.87,voigt,0.0075,False,
O,I,6363.776,1.8,0.78,voigt,0.0,False,ew_below_threshold; NLTE_flag; CN_blend_possible; forbidden_line; upper_limit
Fe,I,6364.69383,34.69,5.8,voigt,0.0024,False,
Fe,I,6366.70998,35.62,1.98,voigt,0.0001,False,
Fe,I,6368.62435,33.49,24.8,voigt,0.0007,False,
Fe,II,6369.459,22.88,4.99,voigt,0.0011,False,
Si,II,6371.37137,42.48,3.57,voigt,0.0007,False,
Ti,I,6371.4957,42.38,2.51,voigt,0.0004,False,
Ni,I,6373.9261,10.2,6.08,voigt,0.0,False,
Ca,I,6374.93003,23.94,2.75,voigt,0.0,False,
Fe,I,6375.78952,21.99,3.23,voigt,0.0,False,
Fe,I,6376.20023,21.48,16.67,voigt,0.0001,False,
Fe,II,6385.45778,54.52,18.13,voigt,0.0008,False,
Si,I,6391.02048,19.28,33.2,voigt,0.0005,False,
Fe,I,6394.07558,168.55,19.96,voigt,0.009,False,
Ti,I,6395.4718,15.77,29.42,voigt,0.0149,False,
Si,I,6397.34319,7.29,4.81,voigt,0.0,False,
Fe,I,6399.64594,282.9,14.8,voigt,0.0067,False,
Ca,I,6399.75245,271.56,8.69,voigt,0.003,False,
Fe,I,6399.99991,278.34,6.75,voigt,0.0017,False,
Si,I,6407.06959,164.33,25.73,voigt,0.008,False,
Fe,I,6411.10526,181.41,14.36,voigt,0.0086,False,
Fe,I,6411.6476,155.39,7.93,voigt,0.0016,False,
Fe,I,6412.20195,171.38,14.69,voigt,0.0087,False,
Si,I,6414.97971,72.77,5.6,voigt,0.0018,False,
Fe,I,6419.9483,110.36,11.91,voigt,0.0123,False,
Si,I,6423.72036,10.53,4.94,voigt,0.0002,False,
Ca,I,6424.58479,19.12,0.79,voigt,0.0,False,
Si,I,6427.88821,5.7,6.58,voigt,0.0,False,
Fe,II,6432.67566,39.0,25.36,voigt,0.012,False,
Si,I,6433.33716,77.45,9.23,voigt,0.0016,False,
Si,I,6433.45722,77.89,10.17,voigt,0.0017,False,
Y,I,6435.00392,9.04,22.84,voigt,0.0004,False,
Fe,I,6436.4055,10.13,0.76,voigt,0.0001,False,
Fe,I,6438.7572,201.96,4.27,voigt,0.0017,False,
Ca,I,6439.075,204.91,1.5,voigt,0.0002,False,
Fe,I,6446.09942,6.97,0.73,voigt,0.0,False,
Fe,II,6446.40701,6.44,0.66,voigt,0.0,False,
Fe,I,6446.82022,6.85,1.29,voigt,0.0,False,
Ca,I,6449.808,152.23,4.29,voigt,0.0013,False,
Fe,I,6454.72342,94.45,111.23,voigt,0.0077,False,
Fe,II,6456.37961,85.38,6.86,voigt,0.0046,False,
Fe,I,6459.28383,22.57,9.96,voigt,0.0001,False,
Fe,I,6461.3566,120.3,40.1,voigt,0.0271,False,
Fe,I,6475.62352,98.2,3.96,voigt,0.001,False,
Fe,I,6481.86937,70.72,5.44,voigt,0.0029,False,
Si,I,6487.12063,12.76,1.03,voigt,0.0001,False,
Fe,II,6491.25444,45.42,4.85,voigt,0.0015,False,
Si,I,6493.44563,160.73,26.3,voigt,0.024,False,
Ca,I,6493.781,165.38,18.26,voigt,0.0231,False,
Fe,I,6494.97996,238.95,20.88,voigt,0.0209,False,
Ba,I,6498.757,166.7,173.74,voigt,0.019,False,hfs_total_ew
Ca,I,6499.65,96.68,19.53,voigt,0.0105,False,
Fe,I,6509.61504,33.92,5.05,voigt,0.0002,False,
Ti,II,6513.0443,21.56,46.99,voigt,0.0009,False,
Si,I,6513.75551,36.15,14.95,voigt,0.0009,False,
Si,I,6518.1286,76.28,5.76,voigt,0.0031,False,
Fe,I,6518.36532,74.42,4.86,voigt,0.0022,False,
Cr,I,6522.61267,32.3,5.24,voigt,0.0004,False,
Fe,I,6531.65996,41.52,7.02,voigt,0.0007,False,
Fe,I,6539.00484,16.39,4.55,voigt,0.0001,False,
Fe,I,6541.47193,16.36,4.59,voigt,0.0001,False,
Ti,I,6543.03718,45.42,7.82,voigt,0.0008,False,
Ti,I,6544.74929,47.26,139.97,voigt,0.011,False,
Ti,I,6548.32287,24.73,3.86,voigt,0.0013,False,
Fe,I,6550.51199,5.89,5.17,voigt,0.0005,False,
Ti,I,6554.223,13.38,6.12,voigt,0.0025,False,
Ti,I,6554.82929,96.8,23.26,voigt,0.0019,False,
Fe,I,6556.78666,12.58,3.4,voigt,0.0022,False,
Si,I,6572.4109,37.76,13.7,voigt,0.0019,False,
Ca,I,6572.779,30.0,4.2,voigt,0.0013,False,
Cr,I,6572.88451,35.02,4.67,voigt,0.0017,False,
Si,I,6572.99082,35.83,7.84,voigt,0.003,False,
Ni,I,6580.2133,13.94,2.71,voigt,0.0006,False,
Fe,I,6581.20875,29.71,1.6,voigt,0.0002,False,
Ni,I,6581.70139,38.69,8.48,voigt,0.0006,False,
Si,I,6583.70736,22.17,0.8,voigt,0.0,False,
C,I,6587.61,44.34,11.93,voigt,0.0024,False,NLTE_flag
Cr,I,6590.50589,17.27,22.9,voigt,0.0003,False,
Fe,I,6591.31237,9.96,16.08,voigt,0.0124,False,
Si,I,6593.04374,157.03,8.43,voigt,0.005,False,
Fe,I,6593.86911,109.56,7.9,voigt,0.0076,False,
Ti,I,6599.10572,78.41,75.3,voigt,0.0028,False,
Fe,I,6601.12319,14.86,15.27,voigt,0.0001,False,
Fe,I,6608.02458,24.64,7.41,voigt,0.0056,False,
Fe,I,6609.10929,78.8,2.06,voigt,0.0007,False,
Fe,I,6609.67735,107.71,29.01,voigt,0.0041,False,
Si,I,6616.12417,16.88,8.33,voigt,0.0001,False,
Sr,I,6617.263,32.46,5.19,voigt,0.0,False,
Si,I,6618.45701,31.07,5.89,voigt,0.0001,False,
Ca,I,6618.57268,25.42,5.42,voigt,0.0001,False,
Ti,I,6622.62218,14.8,5.58,voigt,0.0,False,
Si,I,6625.49263,31.7,4.11,voigt,0.0003,False,
Fe,I,6627.5434,36.56,0.82,voigt,0.0001,False,
Ni,I,6629.64644,7.47,3.59,voigt,0.0001,False,
Cr,I,6630.01093,5.98,0.67,voigt,0.0,False,
Mg,I,6630.833,22.99,14.09,voigt,0.0002,False,
Al,I,6631.218,34.53,5.43,voigt,0.0002,False,
Fe,I,6633.74824,111.69,6.56,voigt,0.0024,False,
Fe,I,6634.10526,146.13,9.35,voigt,0.0028,False,
Fe,I,6636.96452,13.33,42.69,voigt,0.0008,False,
Si,I,6640.61748,47.07,6.92,voigt,0.0007,False,
Cr,I,6643.02501,126.96,15.54,voigt,0.007,False,
Fe,I,6644.30495,127.73,17.38,voigt,0.0072,False,
Eu,II,6645.127,6.8,0.29,voigt,0.0,True,blend_flag; hfs_total_ew
Fe,I,6646.93037,11.54,1.0,voigt,0.0001,False,
Ni,I,6647.79315,26.19,3.14,voigt,0.0002,False,
Fe,I,6653.85087,14.61,0.67,voigt,0.0,False,
Ca,I,6657.303,18.76,4.98,voigt,0.0,False,
Cr,I,6657.58984,18.14,4.14,voigt,0.0,False,
Cr,I,6661.07382,24.35,1.4,voigt,0.0001,False,
Si,I,6664.67252,69.26,24.99,voigt,0.0085,False,
Ti,I,6665.84924,24.43,16.56,voigt,0.0002,False,
Si,I,6668.78887,35.51,5.3,voigt,0.0002,False,
Cr,I,6669.28092,9.17,1.66,voigt,0.0002,False,
Fe,I,6671.05172,19.09,11.47,voigt,0.0001,False,
Fe,I,6676.86517,90.05,26.71,voigt,0.0133,False,
Cr,I,6680.27606,8.18,0.92,voigt,0.0001,False,
Fe,I,6682.23672,16.56,6.78,voigt,0.0,False,
Fe,I,6682.38367,18.04,3.84,voigt,0.0,False,
Si,I,6682.72762,20.0,3.77,voigt,0.0,False,
Ca,I,6688.46882,19.0,3.85,voigt,0.0,False,
Fe,I,6692.271,24.49,5.01,voigt,0.0001,False,
Al,I,6696.185,59.65,2.32,voigt,0.0003,False,
Fe,I,6696.31523,59.05,2.31,voigt,0.0003,False,
Fe,I,6697.37618,61.27,17.63,voigt,0.0021,False,
Fe,I,6703.56554,42.55,9.19,voigt,0.0025,False,
Si,I,6706.97947,26.56,78.55,voigt,0.0024,False,
Li,I,6707.84,1.77,0.33,voigt,0.0,True,ew_below_threshold; blend_flag; NLTE_flag; LTE_lower_bound; hfs_total_ew; CN_blend_possible; upper_limit
Ca,I,6709.8929,23.51,3.35,voigt,0.0002,False,
Fe,I,6713.0455,47.39,3.25,voigt,0.0006,False,
Fe,I,6713.19471,45.1,3.1,voigt,0.0006,False,
Fe,I,6713.74203,28.51,4.48,voigt,0.0018,False,
Ti,I,6716.666,123.69,23.23,voigt,0.0105,False,
Fe,I,6717.30174,132.03,17.6,voigt,0.004,False,
Fe,I,6717.52516,146.13,2.93,voigt,0.0008,False,
Ca,I,6717.681,146.26,2.93,voigt,0.0008,False,
Fe,I,6724.64056,39.48,39.22,voigt,0.0008,False,
Fe,I,6725.35533,23.27,4.57,voigt,0.0026,False,
Cr,I,6729.72911,27.37,4.27,voigt,0.0001,False,
Fe,I,6730.29091,6.82,1.64,voigt,0.0002,False,
Cr,I,6734.20023,46.68,7.89,voigt,0.0009,False,
Fe,I,6737.26766,41.01,13.2,voigt,0.0006,False,
Fe,I,6738.63822,70.23,6.63,voigt,0.0006,False,
Ti,I,6739.01434,63.63,7.28,voigt,0.0007,False,
Fe,I,6742.86694,28.06,2.11,voigt,0.0004,False,
Cr,I,6744.63336,25.42,22.79,voigt,0.0006,False,
Fe,I,6745.0998,8.83,2.75,voigt,0.0005,False,
Ca,I,6745.2295,9.17,1.21,voigt,0.0002,False,
Ti,I,6745.5441,28.94,9.03,voigt,0.0002,False,
Ti,I,6746.333,30.8,9.0,voigt,0.0002,False,
S,I,6748.682,74.15,87.94,voigt,0.0064,False,
Cr,I,6751.28289,66.15,27.14,voigt,0.0078,False,
Fe,I,6753.46338,65.13,9.7,voigt,0.0014,False,
S,I,6756.96,28.29,2.85,voigt,0.0003,False,
S,I,6757.15,22.84,2.45,voigt,0.0003,False,
Fe,I,6763.06085,17.13,5.78,voigt,0.0001,False,
Cr,I,6765.34647,21.68,4.24,voigt,0.0,False,
Fe,I,6773.35696,55.51,12.32,voigt,0.0026,False,
Si,I,6774.81249,24.18,4.29,voigt,0.0,False,
Fe,I,6780.91129,13.26,8.2,voigt,0.0001,False,
Fe,I,6783.26377,51.81,5.83,voigt,0.0002,False,
Ti,II,6785.21766,20.63,42.86,voigt,0.0009,False,
Fe,I,6785.74039,34.16,12.33,voigt,0.0008,False,
Fe,I,6785.84955,36.99,9.21,voigt,0.0007,False,
Fe,I,6786.4249,49.93,4.16,voigt,0.0005,False,
Fe,I,6786.85798,33.48,1.11,voigt,0.0001,False,
Fe,I,6793.25776,48.16,3.4,voigt,0.0002,False,
Fe,I,6801.42614,19.61,4.19,voigt,0.0001,False,
Fe,I,6801.86483,16.98,7.24,voigt,0.0002,False,
Fe,I,6803.29513,54.89,6.95,voigt,0.0007,False,
Fe,I,6804.27031,52.54,2.48,voigt,0.0002,False,
Si,I,6805.57144,33.8,38.98,voigt,0.0023,False,
Fe,I,6806.62187,41.89,0.57,voigt,0.0,False,
Fe,I,6810.26176,57.7,0.68,voigt,0.0,False,
Fe,I,6814.74207,29.32,1.53,voigt,0.0002,False,
Fe,I,6816.64582,5.79,29.79,voigt,0.0004,False,
Fe,I,6817.78384,12.48,14.86,voigt,0.0001,False,
Ni,I,6827.37115,61.32,13.97,voigt,0.0035,False,
C,I,6828.12,86.03,7.5,voigt,0.0023,False,NLTE_flag
Fe,I,6828.5912,71.82,1.22,voigt,0.0002,False,
Fe,I,6835.34934,9.69,4.43,voigt,0.0003,False,
Fe,I,6837.0051,13.49,5.5,voigt,0.0009,False,
Fe,I,6839.82951,35.97,9.86,voigt,0.0054,False,
Fe,I,6841.33809,91.53,6.87,voigt,0.0034,False,
Fe,I,6845.93488,20.36,8.93,voigt,0.0001,False,
Fe,I,6847.59624,10.6,2.61,voigt,0.0003,False,
Si,I,6848.57994,24.56,1.57,voigt,0.0002,False,
Fe,I,6848.8652,26.76,1.75,voigt,0.0002,False,
Fe,I,6854.32684,116.3,17.56,voigt,0.0048,False,
Fe,I,6854.8228,112.47,5.87,voigt,0.0017,False,
Fe,I,6855.16064,100.69,2.69,voigt,0.0006,False,
Fe,I,6857.24883,30.27,6.72,voigt,0.0039,False,
Fe,I,6860.28253,45.9,33.74,voigt,0.0005,False,
Fe,I,6860.94449,65.99,51.7,voigt,0.0013,False,
Ti,I,6861.4452,87.62,8.51,voigt,0.0012,False,
Fe,I,6862.48,38.44,2.44,voigt,0.0006,False,
Fe,I,6864.3109,6.47,7.88,voigt,0.001,False,
Mn,I,6867.01357,276.35,143.23,gaussian,0.1113,False,
Fe,I,6872.1617,205.97,72.14,gaussian,0.1856,False,
Fe,I,6874.09531,188.3,66.83,gaussian,0.137,False,
Fe,I,6875.44503,207.15,66.81,gaussian,0.1306,False,
Si,I,6876.35917,213.21,101.84,gaussian,0.1068,False,
Fe,I,6881.44175,59.22,32.32,voigt,0.018,False,
Cr,I,6882.50674,50.06,20.0,voigt,0.0274,False,
Fe,I,6897.4389,255.53,37.21,gaussian,0.0541,False,
Fe,I,6905.29893,255.04,21.05,voigt,0.0295,False,
O,I,6300.304,4.45,0.55,voigt,0.0,True,Ni_blend_subtracted; ni_ew_pred=1.000_mA; forbidden_line; NLTE_flag; method=Allende_Prieto+2001
