# RYA-489 Section 6 replication-grade per-line data product
# Every value below is PROJECTED from a committed artifact; this
# file measures nothing. Regenerate with the generator named below.
# star: solar
# element: Fe
# Teff: 5772.0
# log_g: 4.438
# Fe_H: 0.0
# xi_microturb: 1.0
# params_source: GBS: Heiter+2015 (Teff/logg), Jofré+2014 ([Fe/H], ξ)
# reference_stack: py3.12 + numpy 2.x (RYA-517 reference stack)
# damping_source: synthesis
# replication_grade: yes
# gold_version: Fe_I=v5
# commit_sha: 4e3dabb5ba139c89ca0b5f5538afb64525ab8fae
# input_commit: 4e3dabb5ba139c89ca0b5f5538afb64525ab8fae
# litscan_anchor: best_external Amarsi et al. 2021 (A&A 653, A141) sigma_ext 0.04
# generated_utc: 2026-08-18T21:08:52+00:00
# generator_script: scripts/generate_perline_product.py
# sources: damping_source=synthesis; replication_grade=yes; band_products=/home/damienabraxas/rya870_repo/data/results/rya847/gated, /home/damienabraxas/rya870_repo/data/results/rya877; linelist=linelist_solar.csv; canonical_gf=canonical_gf.csv; problem_children=problem_children.csv
#
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,gf_source,gf_grade,gf_sigma_dex,damping_rad,damping_stark,damping_vdW,damping_form,hfs_isotope_note,instrument,arm,method,ew_mA,reduced_ew,red_chi2,sigma_A_dex,sigma_A_basis,engine,scale,A_X_line,status,reason_code,reason_note
Fe,I,5417.0332,4.4153,-1.5791,MRW,ungraded,,8.31,-4.73,944.28,ABO packed sigma.alpha,HFS components in canonical_gf: 2,kpno_solar_atlas,VIS,ew_integration,41.99197990450934,-5.110595145380204,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5441.3386,4.3125,-1.63,MRW,ungraded,,8.31,-4.7,807.278,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,39.2973400003072,-5.14134259734649,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.614515625,in_aggregate,,
Fe,I,5461.5489,4.4456,-1.8,MRW,ungraded,,8.33,-4.63,958.28,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,31.414345818692443,-5.240187806190599,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.70140625,in_aggregate,,
Fe,I,5464.2795,4.1426,-1.402,BWL,ungraded,,7.99,-5.26,380.25,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,48.36833738497938,-5.05297174638115,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.365421875,in_aggregate,,
Fe,I,5472.7084,4.2089,-1.495,VALD3,ungraded,,8.01,-5.47,752.215,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,56.66016271439947,-4.98492449105452,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.4493125,in_aggregate,,
Fe,I,5478.4549,4.1909,-1.75,MRW,ungraded,,8.47,-5.57,745.24,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,59.562159273297645,-4.963687657181899,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,8.1594375,in_aggregate,,
Fe,I,5505.8807,4.4153,-1.298,K07,ungraded_kurucz,,8.32,-5.41,-7.51,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,69.04209762852223,-4.901712819389514,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.221796875,in_aggregate,,
Fe,I,5508.4084,4.9556,-2.007,K07,ungraded_kurucz,,8.76,-4.53,-7.3,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,42.801737382322415,-5.10956473390115,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5522.4458,4.2089,-1.45,MRW,ungraded,,8.02,-5.57,744.215,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,49.40904905555174,-5.048324966803677,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5525.477,4.2089,-1.994,K07,ungraded_kurucz,,8.19,-5.46,-7.57,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,68.85585658582897,-4.9044288900815305,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.194640625,in_aggregate,,
Fe,I,5525.5433,4.2305,-1.084,BK,ungraded,,8.48,-5.47,749.238,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,68.94842077247962,-4.9038506631988295,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.194640625,in_aggregate,,
Fe,I,5532.7462,3.5732,-2.05,MRW,ungraded,0.06,7.78,-5.88,237.255,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,66.44469201610461,-4.920480455843014,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.368421875,in_aggregate,,
Fe,I,5532.8637,4.4456,-1.522,K07,ungraded_kurucz,,8.33,-4.01,-7.52,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,66.00811688659485,-4.923352628513346,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.387,in_aggregate,,
Fe,I,5536.5801,2.8316,-3.71,MRW,ungraded,,7.48,-6.2,208.263,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,28.94472249423202,-5.281672197264307,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,8.072546875,in_aggregate,,
Fe,I,5546.5051,4.3714,-1.21,MRW,ungraded,,8.31,-5.06,825.278,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,67.95249645930717,-4.911814000054794,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.396578125,in_aggregate,,
Fe,I,5553.5765,4.4346,-1.31,MRW,ungraded,,8.28,-5.41,898.279,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,68.5237861606656,-4.908731407480648,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,8.0178125,in_aggregate,,
Fe,I,5560.2109,4.4346,-1.09,MRW,ungraded,,8.28,-4.24,895.278,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,59.777972371566825,-4.968550084800248,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.2873203125,in_aggregate,,
Fe,I,5568.81,3.6352,-2.85,MRW,ungraded,,8.01,-6.02,378.256,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,36.66274100444599,-5.181537469767399,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.609515625,in_aggregate,,
Fe,I,5584.0216,4.3714,-2.354,K07,ungraded_kurucz,,8.32,-4.7,-7.52,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,30.552989892574924,-5.261893373158487,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,6.85665625,in_aggregate,,
Fe,I,5607.6637,4.1544,-2.27,VALD3,ungraded,,8.61,-4.88,816.278,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,20.139000045445645,-5.444744057563703,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.5969375,flagged_kept,BAD_GF,"RYA-785 gate selection: our measured Kitt Peak EW is 20.1 mA but Turbospectrum synthesises only 0.95 mA at the solar abundance -- a factor of 21. The other seven RYA-785 gate lines agree with synthesis to 0.9-1.8x, so this is not a normalisation or a harness effect. It is the RYA-713 ATOMIC-DATA pattern (98 of 174 IR failures were a real solar line our list does not carry dominating the window): either the transition credited here is far too weak for the feature, or the measured EW belongs to a different line. Excluded from the gate median by the SYN_EW_MIN=5 mA guard -- at ~1 mA the curve of growth has no leverage and A* is recovered from nothing. The gate PASSES with or without it (+0.0589 vs +0.0579 against a +0.06 anchor), so this is a line-quality finding, not a verdict dependency. Cause NOT established; do not re-source the gf on this evidence. || RYA-808: required_treatment exclude -> investigate. The cause is not established (status=owed), and a treatment cannot be prescribed from an undiagnosed cause (RYA-161). Behaviour is UNCHANGED -- aggregate_action already kept owed rows in the aggregate, flagged. When a cause IS established: status -> active AND required_treatment -> the diagnosed treatment."
Fe,I,5609.9605,3.6398,-4.153,K07,ungraded_kurucz,,8.13,-6.01,377.256,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,24.730572629589307,-5.355725630932039,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,8.840984375,flagged_kept,ABUNDANCE_OUTLIER,"RYA-764/783: the 1D-LTE EW inversion returns A(Fe I) = 8.834 on this line at EW 24.7 mA -- physically impossible for the Sun (~7.5) and it ENTERS the band-product aggregate, because derive_band_products.py does not consult this registry. It is one of 17 (VIS) / 11 (IR) used lines above A=8.0 in the EW route; the ENGINE-B flux fit produces ZERO such lines in the IR (max 7.953) on the same pool, so the pathology is the EW->abundance inversion, not the spectrum. The median protects the reported product value, but these lines are the heavy tail of the Engine-A minus Engine-B per-line diagnostic (robust sd 0.10 dex, naive sd 0.50). CAUSE NOT ESTABLISHED -- misidentification, a wrong gf and unmodelled blending all produce this signature; do NOT re-source the gf on this evidence. || RYA-808: required_treatment exclude -> investigate. The cause is not established (status=owed), and a treatment cannot be prescribed from an undiagnosed cause (RYA-161). Behaviour is UNCHANGED -- aggregate_action already kept owed rows in the aggregate, flagged. When a cause IS established: status -> active AND required_treatment -> the diagnosed treatment. || RYA-809 RCA: AMBIGUOUS after all four tests — absorbs +0.66 dex more than the credited transition can deliver on the pool's own EW-vs-strength relation, but with no co-located absorber identified this does not distinguish an UNCATALOGUED line (RYA-713 found 98 such windows) from a wrong gf; +1.230 dex above the pool on a non-laboratory K07 gf (+/-0.2 dex), which makes the gf a CANDIDATE but not an established cause — RYA-760 refuted loosening the tier, and RYA-780 found no primary measurement to adjudicate against. Stays investigate/owed and is NOT excluded (RYA-161: no exclusion without an established cause). mismatch 0.5 mA; C2 present at +6.14 dex per-atom, but its solar abundance is not tabulated here -> INCONCLUSIVE; gf K07 (+/-0.2 dex); REW -5.356; A 8.834 (+1.230 vs pool median); EW-vs-strength residual +0.660 dex; absorbs 2.9x the EW its catalogued central_depth supports"
Fe,I,5611.3561,3.6352,-2.99,VALD3,ungraded,,8.16,-5.95,376.256,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,12.971459542581975,-5.636078984718272,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5617.1896,3.2515,-2.78,MRW,ungraded,,7.33,-6.16,220.255,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,50.72139234911453,-5.044327916274726,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.66625,in_aggregate,,
Fe,I,5618.632,4.2089,-1.276,VALD3,ungraded,0.03,8.19,-5.57,732.214,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,59.252497142566334,-4.976923930300804,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.41515625,in_aggregate,,
Fe,I,5619.595,4.3865,-1.6,MRW,ungraded,,8.31,-4.35,808.277,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,46.41857973684556,-5.083013169146771,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.34684375,in_aggregate,,
Fe,I,5620.3945,3.3014,-4.2064,K07,ungraded_kurucz,,7.69,-6.08,-7.82,classical log gamma,HFS components in canonical_gf: 2,kpno_solar_atlas,VIS,ew_integration,53.91919026099245,-5.018023438619223,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.4113671875,in_aggregate,,
Fe,I,5620.4924,4.1544,-1.79,VALD3,ungraded,,8.54,-5.29,721.237,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,53.80597031389742,-5.018943897215641,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.4113671875,in_aggregate,,
Fe,I,5635.8039,3.4149,-5.115,K07,ungraded_kurucz,,7.81,-5.96,-7.8,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,47.07905276354522,-5.078128157054156,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.70140625,in_aggregate,,
Fe,I,5650.7051,5.0856,-0.86,MRW,ungraded,,8.87,-3.99,-7.42,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,48.90336912726372,-5.062763862603977,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.808875,in_aggregate,,
Fe,I,5651.4683,4.4733,-1.9,MRW,ungraded,,8.27,-5.41,898.278,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,23.48333411709444,-5.38140153869533,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.63209375,in_aggregate,,
Fe,I,5652.3173,4.2605,-1.85,MRW,ungraded,,8.01,-5.57,754.21,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,32.292372164315495,-5.24312658451916,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.613515625,in_aggregate,,
Fe,I,5653.8644,4.3865,-1.54,MRW,ungraded,,8.31,-3.96,792.277,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,51.69215471603877,-5.038920752824625,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.8781875,in_aggregate,,
Fe,I,5679.0229,4.652,-0.82,MRW,ungraded,,8.21,-5.06,1106.291,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,71.08033242673284,-4.90252416969337,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5691.4963,4.3013,-1.45,GESHRL14,ungraded,,8.37,-5.36,746.231,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,53.72772536680353,-5.025028003318961,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.7365625,in_aggregate,,
Fe,I,5730.854,4.913,-1.445,K07,ungraded_kurucz,,8.69,-4.31,-7.3,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,37.52775937849244,-5.183866709127736,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,8.002234375,in_aggregate,,
Fe,I,5741.8473,4.2562,-1.672,BWL,ungraded,,8.47,-5.57,725.232,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,46.077386545006966,-5.095563800144151,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.790296875,in_aggregate,,
Fe,I,5742.96,4.1777,-2.41,MRW,ungraded,,8.48,-4.38,787.279,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,46.781282459890384,-5.0890636680442345,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,8.26390625,in_aggregate,,
Fe,I,5752.0312,4.5485,-1.177,K07,ungraded_kurucz,,8.33,-4.69,-7.51,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,71.06116072842431,-4.908188935997103,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.8691875,in_aggregate,,
Fe,I,5759.5257,4.5585,-2.093,K07,ungraded_kurucz,,8.29,-4.8,-7.34,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,43.63477477098529,-5.120553981897829,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.76971875,in_aggregate,,
Fe,I,5806.7248,4.6076,-0.95,MRW,ungraded,,8.32,-4.71,985.281,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,72.42205955863068,-4.904060372617569,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.7385625,in_aggregate,,
Fe,I,5809.1552,3.6946,-3.143,K07,ungraded_kurucz,,7.55,-5.8,-7.82,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,67.00975554864553,-4.937974945803654,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.7285625,in_aggregate,,
Fe,I,5809.217,3.8835,-1.74,MRW,ungraded,,7.78,-5.29,956.244,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,67.05738434707558,-4.937670990351746,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.7285625,in_aggregate,,
Fe,I,5833.9249,2.6085,-3.56,MRW,ungraded,,8.21,-5.91,362.237,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,27.85045893915024,-5.321128477983454,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5834.0383,4.913,-0.951,K07,ungraded_kurucz,,8.68,-3.8,-7.33,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,28.04334675793751,-5.318139433807295,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5845.9605,4.913,-2.027,K07,ungraded_kurucz,,8.68,-4.21,-7.34,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,16.061496079818188,-5.5610698805440535,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.525625,in_aggregate,,
Fe,I,5848.0661,3.2657,-3.086,K07,ungraded_kurucz,,8.22,-5.41,-7.58,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,45.41753012926294,-5.109788759790641,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.323265625,in_aggregate,,
Fe,I,5848.1259,4.6076,-1.056,K07,ungraded_kurucz,,8.33,-4.39,-7.52,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,45.43235666271789,-5.109651448577436,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.323265625,in_aggregate,,
Fe,I,5852.218,4.5485,-1.23,MRW,ungraded,,8.33,-5.41,896.276,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,46.98579636497181,-5.095353903450196,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.5899375,in_aggregate,,
Fe,I,5855.0751,4.6076,-1.478,VALD3,ungraded,,8.33,-4.54,962.279,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,27.221664479131693,-5.332617793131182,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5856.0876,4.2944,-1.327,BWL,ungraded,,7.99,-5.26,404.264,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,39.50794207186052,-5.170923156303085,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.370421875,in_aggregate,,
Fe,I,5880.0267,4.5585,-1.84,MRW,ungraded,,8.43,-5.41,884.275,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,48.03002331870945,-5.087866500632947,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5885.0534,4.988,-1.458,K07,ungraded_kurucz,,8.68,-4.68,-7.32,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,24.38581090344057,-5.382613206114556,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,5905.6709,4.652,-0.73,VALD3,ungraded,,8.33,-4.76,994.282,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,69.24710464677054,-4.930867622328854,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.56478125,in_aggregate,,
Fe,I,5916.2469,2.4534,-2.994,GESB82c+BW,ungraded,,8.07,-6.09,341.238,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,65.53406680762446,-4.955579170373865,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.62409375,in_aggregate,,
Fe,I,5927.7883,4.652,-0.99,MRW,ungraded,,8.32,-6.06,984.281,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,49.8081743031396,-5.075592062074011,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.516625,in_aggregate,,
Fe,I,5940.9907,4.1777,-2.05,MRW,ungraded,,8.42,-4.98,722.286,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,46.64853007727891,-5.105020909111981,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,8.071546875,in_aggregate,,
Fe,I,5956.6933,0.859,-4.605,NIST ASD v5.11 grade A,NIST:A,,4.0,-6.17,227.252,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,60.42058697856526,-4.993820299515578,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.68925,in_aggregate,,
Fe,I,5959.9145,4.1426,-2.492,K07,ungraded_kurucz,,0.0,0.0,0.0,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,20.74909415098166,-5.458240888118241,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.806875,in_aggregate,,
Fe,I,5975.349,4.0758,-1.304,K07,ungraded_kurucz,,8.01,-6.03,-7.79,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,58.246232698942,-5.011095435112195,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.113328125,in_aggregate,,
Fe,I,6005.5313,4.1777,-2.776,K07,ungraded_kurucz,,8.56,-5.05,-7.54,classical log gamma,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,28.504686011748674,-5.323635173321327,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,,excluded,DERIVER_EXCLUDED,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction."
Fe,I,6012.2095,2.2227,-4.038,BKK,ungraded,,6.68,-6.13,309.27,ABO packed sigma.alpha,HFS components in canonical_gf: 1,kpno_solar_atlas,VIS,ew_integration,31.227928962010992,-5.2844909227481525,,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-A (gerber-nlte),1D-LTE,7.652671875,in_aggregate,,
